year,total_crimes,months_available,crimes_per_month
2010,370548,12,30879.0
2011,352033,12,29336.083333333332
2012,336367,12,28030.583333333332
2013,307606,12,25633.833333333332
2014,275884,12,22990.333333333332
2015,264884,12,22073.666666666668
2016,269963,12,22496.916666666668
2017,269273,12,22439.416666666668
2018,269119,12,22426.583333333332
2019,261626,12,21802.166666666668
2020,212605,12,17717.083333333332
2021,209508,12,17459.0
2022,239822,12,19985.166666666668
2023,263001,12,21916.75
2024,258314,12,21526.166666666668
2025,96577,6,16096.166666666666
