primary_type,hour,weekday,count
ASSAULT,0,Friday,1456
ASSAULT,0,Monday,1594
ASSAULT,0,Saturday,1855
ASSAULT,0,Sunday,1884
ASSAULT,0,Thursday,1437
ASSAULT,0,Tuesday,1446
ASSAULT,0,Wednesday,1448
ASSAULT,1,Friday,1023
ASSAULT,1,Monday,1037
ASSAULT,1,Saturday,1392
ASSAULT,1,Sunday,1532
ASSAULT,1,Thursday,890
ASSAULT,1,Tuesday,972
ASSAULT,1,Wednesday,894
ASSAULT,2,Friday,821
ASSAULT,2,Monday,771
ASSAULT,2,Saturday,1274
ASSAULT,2,Sunday,1424
ASSAULT,2,Thursday,793
ASSAULT,2,Tuesday,700
ASSAULT,2,Wednesday,690
ASSAULT,3,Friday,556
ASSAULT,3,Monday,554
ASSAULT,3,Saturday,1034
ASSAULT,3,Sunday,1234
ASSAULT,3,Thursday,581
ASSAULT,3,Tuesday,463
ASSAULT,3,Wednesday,533
ASSAULT,4,Friday,438
ASSAULT,4,Monday,447
ASSAULT,4,Saturday,788
ASSAULT,4,Sunday,939
ASSAULT,4,Thursday,417
ASSAULT,4,Tuesday,383
ASSAULT,4,Wednesday,389
ASSAULT,5,Friday,471
ASSAULT,5,Monday,445
ASSAULT,5,Saturday,581
ASSAULT,5,Sunday,645
ASSAULT,5,Thursday,419
ASSAULT,5,Tuesday,425
ASSAULT,5,Wednesday,463
ASSAULT,6,Friday,624
ASSAULT,6,Monday,566
ASSAULT,6,Saturday,613
ASSAULT,6,Sunday,665
ASSAULT,6,Thursday,649
ASSAULT,6,Tuesday,578
ASSAULT,6,Wednesday,621
ASSAULT,7,Friday,1095
ASSAULT,7,Monday,1047
ASSAULT,7,Saturday,815
ASSAULT,7,Sunday,791
ASSAULT,7,Thursday,1134
ASSAULT,7,Tuesday,1163
ASSAULT,7,Wednesday,1152
ASSAULT,8,Friday,1825
ASSAULT,8,Monday,1764
ASSAULT,8,Saturday,1172
ASSAULT,8,Sunday,1002
ASSAULT,8,Thursday,1921
ASSAULT,8,Tuesday,1931
ASSAULT,8,Wednesday,1932
ASSAULT,9,Friday,2079
ASSAULT,9,Monday,2104
ASSAULT,9,Saturday,1546
ASSAULT,9,Sunday,1415
ASSAULT,9,Thursday,2225
ASSAULT,9,Tuesday,2228
ASSAULT,9,Wednesday,2229
ASSAULT,10,Friday,2244
ASSAULT,10,Monday,2309
ASSAULT,10,Saturday,1918
ASSAULT,10,Sunday,1782
ASSAULT,10,Thursday,2412
ASSAULT,10,Tuesday,2371
ASSAULT,10,Wednesday,2462
ASSAULT,11,Friday,2396
ASSAULT,11,Monday,2409
ASSAULT,11,Saturday,2185
ASSAULT,11,Sunday,1974
ASSAULT,11,Thursday,2444
ASSAULT,11,Tuesday,2436
ASSAULT,11,Wednesday,2560
ASSAULT,12,Friday,2607
ASSAULT,12,Monday,2627
ASSAULT,12,Saturday,2303
ASSAULT,12,Sunday,2165
ASSAULT,12,Thursday,2657
ASSAULT,12,Tuesday,2623
ASSAULT,12,Wednesday,2833
ASSAULT,13,Friday,2431
ASSAULT,13,Monday,2374
ASSAULT,13,Saturday,2109
ASSAULT,13,Sunday,2164
ASSAULT,13,Thursday,2460
ASSAULT,13,Tuesday,2516
ASSAULT,13,Wednesday,2601
ASSAULT,14,Friday,2574
ASSAULT,14,Monday,2630
ASSAULT,14,Saturday,2271
ASSAULT,14,Sunday,2260
ASSAULT,14,Thursday,2764
ASSAULT,14,Tuesday,2713
ASSAULT,14,Wednesday,2863
ASSAULT,15,Friday,3090
ASSAULT,15,Monday,3119
ASSAULT,15,Saturday,2466
ASSAULT,15,Sunday,2412
ASSAULT,15,Thursday,3280
ASSAULT,15,Tuesday,3267
ASSAULT,15,Wednesday,3402
ASSAULT,16,Friday,2720
ASSAULT,16,Monday,2865
ASSAULT,16,Saturday,2465
ASSAULT,16,Sunday,2394
ASSAULT,16,Thursday,2817
ASSAULT,16,Tuesday,3078
